repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
lowRISC/opentitan,29395,"[otbn,simd] Add RTL of SIMD instruction implemented in BN MAC",bug-fix,18,1885,531,2045,636,3,83,12,17,1,0,0,0,0,0,0,0,0,1,hw/ip/otbn/dv/uvm/env/otbn_env_cov.sv,hw/ip/otbn/dv/tracer/rtl/otbn_trace_if.sv|hw/ip/otbn/rtl/otbn.sv|hw/ip/otbn/rtl/otbn_alu_bignum.sv|hw/ip/otbn/rtl/otbn_controller.sv|hw/ip/otbn/rtl/otbn_core.sv|hw/ip/otbn/rtl/otbn_decoder.sv|hw/ip/otbn/rtl/otbn_instruction_fetch.sv|hw/ip/otbn/rtl/otbn_mac_bignum.sv|hw/ip/otbn/rtl/otbn_mac_bignum_fsm.sv|hw/ip/otbn/rtl/otbn_pkg.sv|hw/ip/otbn/rtl/otbn_predecode.sv|hw/ip/otbn/rtl/otbn_start_stop_control.sv|hw/ip/otbn/rtl/otbn_vec_multiplier.sv|hw/top_darjeeling/rtl/autogen/testing/top_darjeeling_rnd_cnst_pkg.sv|hw/top_darjeeling/rtl/autogen/top_darjeeling.sv|hw/top_earlgrey/rtl/autogen/testing/top_earlgrey_rnd_cnst_pkg.sv|hw/top_earlgrey/rtl/autogen/top_earlgrey.sv
olofk/serv,90,ice40_pll.v - Guarantee at least 2 cycles of o_rst after PLL locked.,other,1,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,servant/ice40_pll.v
darklife/darkriscv,47,Add support for Scarab miniSpartan6-plus LX9,feature-addition,1,8,0,731,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,rtl/config.vh,
darklife/darkriscv,45,boards: add papilio_duo_logicstart support,feature-addition,1,7,0,718,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,rtl/config.vh,
lowRISC/opentitan,29369,"[rv_dm,tlt] Remove invalid SystemVerilog syntax ('{})",feature-removal,2,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,hw/top_darjeeling/dv/env/seq_lib/chip_sw_rv_dm_ndm_reset_when_cpu_halted_vseq.sv|hw/top_earlgrey/dv/env/seq_lib/chip_sw_rv_dm_ndm_reset_when_cpu_halted_vseq.sv
olofk/serv,63,Vars modelsim,bug-fix,3,10,9,10,9,2,0,1,3,0,0,0,0,0,0,0,0,0,0,,rtl/serv_decode.v|rtl/serv_immdec.v|rtl/serv_top.v
darklife/darkriscv,26,Support for Lattice XP2 Brevia board,feature-removal,1,6,0,527,1,10,0,4,0,1,0,0,0,0,0,0,0,0,1,rtl/config.vh,
lowRISC/opentitan,29451,"[chip,dv] Get rid of chip_env_cfg::en_uart_logger",other,4,4,8,4,8,1,0,0,2,2,0,0,0,0,0,0,0,0,1,hw/top_darjeeling/dv/tests/chip_base_test.sv|hw/top_earlgrey/dv/tests/chip_base_test.sv,hw/top_darjeeling/dv/env/chip_env_cfg.sv|hw/top_earlgrey/dv/env/chip_env_cfg.sv
lowRISC/opentitan,29448,[dv] Make d_error mismatch error more informative,other,1,39,12,39,12,1,4,0,0,1,0,0,0,0,0,0,0,0,1,hw/dv/sv/cip_lib/cip_base_scoreboard.sv,
alexforencich/verilog-pcie,20,Fix reg to wire declaration,bug-fix,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,rtl/dma_if_axi_rd.v,
olofk/serv,60,M-extension support for SERV,feature-addition,7,219,48,246,52,33,19,2,7,0,0,0,0,0,0,0,0,0,0,,rtl/serv_bufreg.v|rtl/serv_decode.v|rtl/serv_mem_if.v|rtl/serv_rf_top.v|rtl/serv_state.v|rtl/serv_top.v|servant/servant.v
cocotb/cocotb,5046,"Revert ""[stable/2.0] Backport PR #4977: Make quickstart example less ""basic""""",other,2,15,30,172,427,1,0,1,2,0,0,0,0,0,0,0,0,0,0,,examples/doc_examples/quickstart/my_design.sv|examples/doc_examples/quickstart/simple_counter.sv
alexforencich/verilog-pcie,19,Fix multi-driven net issue when S_RAM_SEL_WIDTH = 0,bug-fix,1,7,1,7,1,1,0,3,0,1,0,0,0,0,0,0,0,0,1,rtl/dma_ram_demux_wr.v,
lowRISC/opentitan,29449,"[dv,chip] Remove dead variable from chip_env_cfg",feature-removal,2,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,hw/top_darjeeling/dv/env/chip_env_cfg.sv|hw/top_earlgrey/dv/env/chip_env_cfg.sv
lowRISC/opentitan,29447,"[chip,dv] Consistency (protected) in some chip-level code",other,3,7,3,7,3,1,0,0,0,3,0,0,0,0,0,0,0,0,1,hw/top_darjeeling/dv/env/chip_scoreboard.sv|hw/top_earlgrey/dv/env/chip_scoreboard.sv|hw/top_earlgrey/dv/env/seq_lib/chip_common_vseq.sv,
olofk/serv,54,decode: Add option to pre or post register during decoding,feature-addition,1,240,130,230,120,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,rtl/serv_decode.v
The-OpenROAD-Project/OpenROAD,9675,odb: fix createNewFlatNet flat/modnet name collision with BTerm,bug-fix,8,56,21,170,54,2,1,4,8,0,0,0,0,0,0,0,0,0,0,,src/rsz/test/cpp/TestInsertBuffer_BeforeLoad_Case1_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case10_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case12_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case13_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case33_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case33_pre.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case3_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case9_post.v
olofk/serv,44,Add support for DECA Max 10 board and improvements to SoCKit previous port,feature-addition,1,0,34,61,37,2,0,1,1,0,0,0,0,0,0,0,0,0,0,,servant/servive_clock_gen_sockit.v
google/xls,3931,Fix regressions in ZSTD module,bug-fix,1,44,44,150,223,4,11,6,1,0,0,0,0,0,0,0,0,0,0,,xls/modules/zstd/rtl/zstd_dec_wrapper.sv
olofk/serv,27,Add compatibility with Xilinx ISE,bug-fix,3,6,5,6,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,,rtl/serv_rf_ram_if.v|rtl/serv_rf_top.v|servant/servant_ram.v
