repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
darklife/darkriscv,51,"Running CoreMark benchmark in DarkRISCV, And Change 'src' directory structure",other,2,23,16,,,,,,0,2,0,0,0,0,0,0,0,0,1,rtl/config.vh|rtl/darksocv.v,
darklife/darkriscv,47,Add support for Scarab miniSpartan6-plus LX9,feature-addition,1,8,0,,,,,,0,1,0,0,0,0,0,0,0,0,1,rtl/config.vh,
darklife/darkriscv,45,boards: add papilio_duo_logicstart support,feature-addition,1,7,0,,,,,,0,1,0,0,0,0,0,0,0,0,1,rtl/config.vh,
darklife/darkriscv,26,Support for Lattice XP2 Brevia board,feature-removal,1,6,0,,,,,,0,1,0,0,0,0,0,0,0,0,1,rtl/config.vh,
The-OpenROAD-Project/OpenROAD,9675,odb: fix createNewFlatNet flat/modnet name collision with BTerm,bug-fix,8,56,21,,,,,,8,0,0,0,0,0,0,0,0,0,0,,src/rsz/test/cpp/TestInsertBuffer_BeforeLoad_Case1_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case10_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case12_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case13_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case33_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case33_pre.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case3_post.v|src/rsz/test/cpp/TestInsertBuffer_BeforeLoads_Case9_post.v
XUANTIE-RV/wujian100_open,22,fix(iverilog): remove static from tb,bug-fix,2,13,2,,,,,,0,2,0,0,0,0,0,0,0,0,1,tb/busmnt.v|tb/tb.v,
vortexgpgpu/vortex,229,Add CUDA Warp Level Collectives,bug-fix,5,574,16,,,,,,5,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_define.vh|hw/rtl/core/VX_alu_int.sv|hw/rtl/core/VX_decode.sv|hw/rtl/core/VX_lsu_slice.sv|hw/rtl/core/VX_trace.vh
vortexgpgpu/vortex,252,Fix: provisional fix by disable warnings & correctly use `var`,bug-fix,4,26,26,,,,,,4,0,0,0,0,0,0,0,0,0,0,,hw/dpi/util_dpi.vh|hw/rtl/core/VX_alu_int.sv|hw/rtl/core/VX_alu_muldiv.sv|hw/rtl/fpu/VX_fpu_dpi.sv
vortexgpgpu/vortex,226,Merge tensor_unit into simx-vpu (vector_unit),other,14,115,110,,,,,,8,6,0,0,0,0,0,0,0,0,1,hw/rtl/afu/opae/vortex_afu.sv|hw/rtl/afu/xrt/VX_afu_wrap.sv|hw/rtl/libs/VX_async_ram_patch.sv|sim/opaesim/vortex_afu_shim.sv|sim/rtlsim/rtlsim_shim.sv|sim/xrtsim/vortex_afu_shim.sv,hw/rtl/VX_config.vh|hw/rtl/VX_types.vh|hw/rtl/Vortex_axi.sv|hw/rtl/afu/opae/local_mem_cfg_pkg.sv|hw/rtl/afu/xrt/VX_afu_ctrl.sv|hw/rtl/afu/xrt/vortex_afu.v|hw/rtl/afu/xrt/vortex_afu.vh|hw/rtl/libs/VX_axi_adapter.sv
vortexgpgpu/vortex,216,Simx ICache DCache Changes,feature-addition,1,4,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_config.vh
vortexgpgpu/vortex,211,Vector extension simx with fallbacks for testcases and clean history,bug-fix,2,17,0,,,,,,2,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_config.vh|hw/rtl/VX_types.vh
